header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
srp_Para.bras._CN241909,-30.31,46.63,60.74,48.86
srp_Para.bras._EH652573,-30.31,46.63,60.74,48.86
srp_Pseu.aeru._CP000744,-31.03,25.80,41.02,5.37
srp_Mari.mari._CP000449,-31.54,44.99,62.96,40.45
srp_Rals.eutr._CP000090,-31.86,18.29,15.51,7.49
srp_Ence.cuni._AL590449,-31.93,45.98,89.22,16.79
srp_Grac.tenu._AY673996,-32.03,29.09,29.13,26.09
srp_Porp.yezo._AP006715,-32.03,29.09,29.13,26.09
srp_Rhod.spha._CP000577,-32.03,15.00,2.09,10.88
srp_Arth.aure._CP000474,-32.07,29.78,30.12,27.17
srp_Shew.onei._AE015625,-32.54,34.99,44.58,27.84
srp_Chla.cavi._AE015925,-32.79,44.03,62.90,36.41
srp_Thal.pseu._EF067921,-32.87,29.70,28.59,27.66
srp_Heli.hepa._AE017125,-32.88,36.32,48.39,27.70
srp_Shig.flex._AE016979,-32.89,12.40,1.87,2.44
srp_Rhod.palu._CP000463,-32.90,35.99,34.16,40.91
srp_Salm.ente._AE014613,-33.11,31.79,34.67,27.59
srp_Salm.ente._AE016842,-33.11,31.79,34.67,27.59
srp_Salm.ente._AE017220,-33.11,31.79,34.67,27.59
srp_Salm.typh._AE008717,-33.11,31.79,34.67,27.59
srp_Shew.spec._CP000444,-33.11,31.79,34.67,27.59
srp_Shew.balt._CP000563,-33.11,31.79,34.67,27.59
srp_Shew.deni._CP000302,-33.11,31.79,34.67,27.59
srp_Shew.onei._AE014299,-33.11,31.79,34.67,27.59
srp_Shew.spec._CP000446,-33.11,31.79,34.67,27.59
srp_Chla.muri._AE002160,-34.41,38.12,39.89,40.06
srp_Agro.tume._AE007869,-34.88,20.19,15.51,10.18
srp_Xant.oryz._AE013598,-35.13,24.63,18.00,20.75
srp_Aqui.aeol._AE000759,-36.06,26.98,23.48,21.40
srp_Myco.mobi._AE017308,-36.06,26.98,23.48,21.40
srp_Zymo.mobi._AF203881,-36.21,40.82,44.00,42.25
srp_Vibr.chol._AE004188,-36.26,37.91,56.67,20.81
srp_Dech.arom._CP000089,-36.75,34.06,61.83,3.59
srp_Nitr.eutr._CP000450,-36.75,34.06,61.83,3.59
srp_Nitr.mult._CP000103,-36.75,34.06,61.83,3.59
srp_Pseu.aeru._X14404,-36.75,34.06,61.83,3.59
srp_Thio.deni._CP000116,-36.75,34.06,61.83,3.59
srp_Pseu.halo._CR954246,-37.56,31.17,48.62,7.33
srp_Sacc.degr._CP000282,-37.56,31.17,48.62,7.33
srp_Rhod.palu._CP000301,-38.62,45.72,57.62,40.91
srp_Pedi.pent._CP000422,-38.68,28.68,19.72,27.64
srp_Desu.psyc._CR522870,-38.74,39.07,39.56,38.92
srp_Lact.john._AE017201,-39.00,42.01,44.06,42.97
srp_Chro.viol._AE016825,-39.28,34.00,57.37,5.36
srp_Xyle.fast._AE012554,-39.91,26.20,31.89,6.79
srp_Xyle.fast._AE003849,-39.95,26.20,31.85,6.79
srp_Xant.camp._CP000050,-40.00,27.86,39.97,3.60
srp_Camp.jeju._AL111168,-40.30,39.30,46.91,30.70
srp_Proc.mari._CP000551,-40.63,44.50,47.76,45.11
srp_Proc.mari._CP000111,-40.89,35.58,26.28,39.57
srp_Chla.trac._CP000051,-41.67,38.24,36.38,36.66
srp_Myco.lepr._AL583925,-42.20,35.69,46.78,18.09
srp_Trep.pall._AE000520,-42.26,33.40,30.26,27.69
srp_Fran.alni._CT573213,-42.29,42.53,41.52,43.78
srp_Cand.Bloc._CP000016,-42.39,43.70,47.00,41.70
srp_Fran.tula._CP000803,-42.39,43.70,47.00,41.70
srp_Hahe.chej._CP000155,-42.39,43.70,47.00,41.70
srp_Kleb.pneu._CP000647,-42.39,43.70,47.00,41.70
srp_Mari.aqua._CP000514,-42.39,43.70,47.00,41.70
srp_Fran.tula._CP000437,-42.41,16.64,3.00,4.52
srp_Fran.tula._CP000439,-42.41,16.64,3.00,4.52
srp_Heli.pylo._AE000511,-42.41,16.64,3.00,4.52
srp_Proc.mari._CP000554,-43.04,46.75,47.98,49.25
srp_Proc.mari._CP000576,-43.04,46.75,47.98,49.25
srp_Rhod.palu._CP000283,-43.17,40.08,36.14,40.91
srp_Gluc.oxyd._CP000009,-43.29,47.17,49.00,49.22
srp_Toxo.gond._CO743022,-43.63,34.00,24.00,34.36
srp_Borr.afze._CP000395,-43.76,38.64,35.67,36.48
srp_Stre.pyog._AE006489,-43.85,25.41,19.18,13.22
srp_Stre.pyog._CP000003,-43.85,25.41,19.18,13.22
srp_Stre.pyog._CP000017,-43.85,25.41,19.18,13.22
srp_Stre.pyog._CP000056,-43.85,25.41,19.18,13.22
srp_Chla.pneu._BA000008,-44.78,43.16,47.73,36.98
srp_Myco.spec._CP000580,-44.78,34.98,37.21,22.94
srp_Myco.lepr._AL023596,-45.47,41.45,47.43,31.45
srp_Stre.coel._AL939118,-45.52,27.77,5.81,31.97
srp_Sili.spec._CP000377,-45.77,31.00,15.85,31.37
srp_Anae.sp.._CP000769,-45.79,17.30,2.97,3.13
srp_Sili.pome._CP000031,-45.99,19.28,0.04,11.81
srp_Citr.sine._CN181543,-46.32,35.79,27.64,33.40
srp_Citr.sine._CN181544,-46.32,35.79,27.64,33.40
srp_Chla.cavi._AE016995,-46.52,39.61,38.00,34.33
srp_Prop.acne._AE017283,-46.60,36.59,48.99,14.19
srp_Trop.whip._AE014184,-46.60,36.59,48.99,14.19
srp_Trop.whip._BX251412,-46.60,36.59,48.99,14.19
srp_List.mono._AE017331,-46.89,40.97,53.52,22.50
srp_List.mono._AL591984,-46.89,40.97,53.52,22.50
srp_Proc.spec._AJ011025,-46.97,46.98,45.16,48.82
srp_Ochr.anth._CP000758,-47.11,47.97,50.22,46.57
srp_Pseu.aeru._M31829,-47.20,26.66,29.18,3.59
srp_Nitr.hamb._CP000319,-47.29,48.10,56.08,40.91
srp_Neis.gono._AE004969,-47.74,21.62,10.97,6.14
srp_Yers.pest._CP000668,-47.93,42.86,58.50,22.16
srp_Camp.jeju._CP000025,-48.97,48.70,48.86,48.27
srp_Haem.infl._CP000671,-49.40,30.14,36.41,4.62
srp_Neis.meni._AL162755,-50.44,21.62,10.27,4.15
srp_Heli.pylo._AE001441,-51.55,29.66,18.00,19.44
srp_Heli.acin._AM260522,-51.73,42.34,41.37,33.93
srp_Heli.hepa._AE017149,-51.73,42.34,41.37,33.93
srp_Lact.acid._CP000033,-51.87,43.37,38.84,39.40
srp_Esch.coli._AE014075,-53.83,42.10,50.31,22.16
srp_Esch.coli._AP009048,-53.83,42.10,50.31,22.16
srp_Esch.coli._CP000243,-53.83,42.10,50.31,22.16
srp_Esch.coli._CP000468,-53.83,42.10,50.31,22.16
srp_Yers.pest._AE017129,-53.83,42.10,50.31,22.16
srp_Yers.pest._CP000305,-53.83,42.10,50.31,22.16
srp_Yers.pest._CP000308,-53.83,42.10,50.31,22.16
srp_Lact.delb._AF496545,-54.14,27.88,13.08,16.41
srp_Chla.trac._AE001298,-54.37,46.76,47.25,38.66
srp_Synt.fuma._CP000478,-54.89,36.40,41.32,12.99
srp_Para.bras._CN241137,-55.05,59.01,62.97,59.02
srp_Lact.delb._CP000412,-55.58,30.47,21.93,13.91
srp_Lact.delb._CR954253,-55.58,30.47,21.93,13.91
srp_Bord.para._BX640426,-55.97,36.40,42.61,10.63
srp_Bord.pert._BX640415,-55.97,36.40,42.61,10.63
srp_Meth.flag._CP000284,-55.97,36.40,42.61,10.63
srp_Clos.ther._CP000568,-56.05,78.15,88.01,90.40
srp_Syne.spec._BX569693,-56.69,32.63,30.62,10.57
srp_Alka.meta._CP000724,-57.05,66.28,84.73,57.05
srp_Haem.ducr._U32175,-57.41,28.70,20.69,8.01
srp_Rhod.palu._BX572594,-57.51,50.59,53.34,40.91
srp_Rhod.rubr._CP000230,-57.51,50.59,53.34,40.91
srp_Chla.pneu._AE001363,-57.73,50.17,56.21,36.56
srp_Chla.abor._CR848038,-58.27,50.00,50.08,41.65
srp_Myco.vanb._CP000511,-58.36,31.89,14.44,22.87
srp_Haem.infl._CP000672,-58.58,51.49,56.58,39.32
srp_Vibr.vuln._AE016807,-58.82,42.78,47.81,21.70
srp_Pich.stip._CP000502,-59.66,25.35,7.41,8.98
srp_Trep.dent._AE017246,-59.88,30.95,15.00,17.96
srp_Borr.burg._AE000783,-59.93,30.96,15.00,17.96
srp_Burk.ceno._CP000380,-60.15,35.13,38.61,6.63
srp_Burk.ceno._CP000458,-60.15,35.13,38.61,6.63
srp_Burk.cepa._CP000440,-60.15,35.13,38.61,6.63
srp_Camp.curv._CP000767,-61.82,43.82,43.05,26.60
srp_Bart.quin._BX897700,-64.16,50.96,50.35,38.36
srp_Stre.muta._AE014879,-64.42,34.40,19.00,19.79
srp_Phyt.infe._CV911012,-64.71,46.85,35.91,39.92
srp_Buch.aphi._AE014017,-64.90,40.24,49.85,5.96
srp_Buch.aphi._AE014122,-64.90,40.24,49.85,5.96
srp_Legi.pneu._CR628337,-64.90,40.24,49.85,5.96
srp_Xant.oryz._AP008229,-64.98,33.76,21.22,15.07
srp_Pseu.puti._AE015451,-65.39,31.75,26.00,3.85
srp_Pseu.puti._AE016790,-65.39,31.75,26.00,3.85
srp_Chla.pneu._AE002161,-65.81,47.28,49.06,26.96
srp_Vibr.fisc._CP000020,-66.89,34.30,24.12,11.89
srp_Myco.tube._AE000516,-69.84,43.99,47.99,14.13
srp_Noca.farc._AP006618,-72.40,48.67,47.93,25.68
